Customer_ID,Customer_Name,Gender,Age,Mobile,City,Region,Customer_Type,Loyalty_Points,Registration_Date
1,Chakradev Chad,Male,28,2449390926,Surat,Gujarat,Hospital,2770,2024-04-03
2,Yashasvi Loyal,Female,45,0575668282,Mumbai,Maharashtra,Clinic,585,2022-06-01
3,Ekansh Uppal,Male,68,8827685955,Jaipur,Rajasthan,Clinic,8340,2025-02-09
4,Zilmil Krish,Female,74,4788577598,Indore,Madhya Pradesh,Clinic,4394,2026-03-28
5,Krish Srinivasan,Male,64,4888899643,Ahmedabad,Gujarat,Hospital,5217,2026-03-16
6,Panini Anand,Female,85,1090493182,Jaipur,Rajasthan,Retail,9183,2026-04-02
7,Siddharth Balay,Male,47,5523011100,Rajkot,Gujarat,Retail,2895,2022-03-04
8,Hiral Virk,Female,35,6903200591,Vadodara,Gujarat,Clinic,8359,2021-09-08
9,Aradhana Lalla,Female,41,9273151072,Indore,Madhya Pradesh,Hospital,6793,2023-12-20
10,Eshana Om,Female,63,4960820402,Bengaluru,Karnataka,Hospital,7303,2023-10-20
11,Amol Koshy,Male,77,7141939954,Jaipur,Rajasthan,Clinic,8689,2025-04-15
12,Andrew Rajagopalan,Male,53,2181311023,Delhi,Delhi,Hospital,8205,2024-02-20
13,Vasana Mukherjee,Female,77,3366809906,Delhi,Delhi,Hospital,9301,2026-02-19
14,Rajeshri Bahl,Female,46,9545406114,Delhi,Delhi,Hospital,2720,2021-10-31
15,Vedika Joshi,Female,57,0405413731,Delhi,Delhi,Hospital,8261,2025-02-10
16,Pooja Rana,Female,44,4111956310,Mumbai,Maharashtra,Hospital,8386,2025-02-24
17,Mohini Parmar,Female,27,2547876746,Bengaluru,Karnataka,Hospital,137,2024-07-07
18,Brijesh Char,Male,25,5282611024,Surat,Gujarat,Clinic,801,2023-09-23
19,Dayita Dugal,Female,47,1583842273,Bengaluru,Karnataka,Clinic,1741,2025-03-06
20,Thomas Balan,Male,49,2680746467,Mumbai,Maharashtra,Retail,989,2025-02-06
21,Jeevika Walia,Female,25,6605787210,Ahmedabad,Gujarat,Hospital,5901,2024-07-25
22,Chandresh Ramakrishnan,Male,21,4993792096,Rajkot,Gujarat,Retail,1887,2024-05-13
23,Harsh Bora,Male,23,0781975748,Ahmedabad,Gujarat,Clinic,346,2024-08-07
24,Harini Ravel,Female,34,2027674204,Mumbai,Maharashtra,Retail,3010,2023-05-14
25,Timothy Jayaraman,Male,23,7278414545,Jaipur,Rajasthan,Retail,2480,2025-09-26
26,Henry Raman,Male,62,8140378384,Ahmedabad,Gujarat,Clinic,1853,2024-11-28
27,Rajata Kala,Female,80,5157527747,Pune,Maharashtra,Retail,5052,2026-03-08
28,Gauri Chaudhary,Female,23,7352522348,Indore,Madhya Pradesh,Hospital,6583,2022-12-08
29,Ryan Manne,Male,46,5467245771,Delhi,Delhi,Retail,5182,2022-03-03
30,Charles Panchal,Male,75,5160853968,Ahmedabad,Gujarat,Retail,8491,2023-05-02
31,Yahvi Chandran,Female,83,3542654153,Delhi,Delhi,Hospital,2356,2021-10-07
32,Bhavani Dhawan,Female,51,1674258915,Mumbai,Maharashtra,Clinic,6877,2026-07-10
33,Warjas Suri,Male,35,8991988767,Indore,Madhya Pradesh,Clinic,930,2024-02-27
34,Darika Seth,Female,34,1821647041,Ahmedabad,Gujarat,Retail,2796,2021-08-28
35,Chakradhar Nayar,Male,47,0731728028,Delhi,Delhi,Clinic,514,2022-07-13
36,Om Wadhwa,Male,74,2570281317,Rajkot,Gujarat,Retail,4108,2022-08-11
37,Om Ramesh,Male,47,8123263456,Bengaluru,Karnataka,Clinic,5895,2023-07-11
38,Chavvi Chaudhry,Female,53,4487436281,Jaipur,Rajasthan,Clinic,79,2025-04-17
39,Gunbir Raman,Male,67,2047803295,Ahmedabad,Gujarat,Hospital,2625,2022-03-27
40,Chakradhar Shetty,Male,29,3254891660,Indore,Madhya Pradesh,Retail,1669,2024-09-18
41,Abhiram Kala,Male,41,5486983622,Ahmedabad,Gujarat,Retail,1723,2023-06-13
42,Girish Soni,Male,84,3795412597,Ahmedabad,Gujarat,Clinic,7608,2025-12-16
43,Ishita Wason,Female,66,1003505845,Mumbai,Maharashtra,Retail,3442,2023-11-20
44,Megha Deo,Female,83,2296197417,Jaipur,Rajasthan,Retail,9520,2024-05-11
45,Harrison Natt,Male,85,8633804329,Jaipur,Rajasthan,Clinic,2969,2026-05-22
46,Rudra Soman,Male,64,4333088198,Delhi,Delhi,Retail,8506,2025-01-25
47,Jack Varma,Male,64,1585879173,Bengaluru,Karnataka,Hospital,6098,2023-12-05
48,Ekta Jhaveri,Female,70,3809241881,Ahmedabad,Gujarat,Retail,1720,2021-09-13
49,Vritti Batta,Female,20,5195195547,Rajkot,Gujarat,Hospital,982,2026-05-16
50,Anya Oak,Female,77,0580188966,Delhi,Delhi,Retail,9645,2022-05-07
51,Abhiram Pandit,Male,54,4003936151,Ahmedabad,Gujarat,Retail,6109,2022-09-13
52,Dalaja Ahuja,Female,46,1849308886,Surat,Gujarat,Hospital,3151,2023-09-01
53,Quincy Bera,Male,65,8769727925,Bengaluru,Karnataka,Hospital,7589,2025-01-22
54,Samuel Krishna,Male,68,7736643506,Pune,Maharashtra,Retail,4164,2023-01-17
55,William Lal,Male,28,3775897388,Surat,Gujarat,Clinic,5480,2026-04-18
56,Ubika Choudhary,Female,31,6169798716,Rajkot,Gujarat,Retail,7706,2026-02-06
57,Fitan Din,Male,55,2677264596,Delhi,Delhi,Hospital,7488,2024-11-14
58,Anmol Jhaveri,Male,52,1105595625,Pune,Maharashtra,Hospital,8622,2023-12-08
59,Vamakshi Chandra,Female,80,5047200567,Jaipur,Rajasthan,Clinic,4862,2024-09-23
60,Jasmit Narang,Female,38,5469977418,Rajkot,Gujarat,Hospital,9773,2022-09-28
61,Hemangini Khurana,Female,72,3973649382,Indore,Madhya Pradesh,Clinic,1381,2025-03-26
62,Hardik Gopal,Male,63,9023309173,Surat,Gujarat,Retail,8933,2024-08-13
63,Abdul Parsa,Male,26,4095761172,Jaipur,Rajasthan,Retail,615,2022-11-13
64,Baljiwan Vyas,Male,67,4088316229,Mumbai,Maharashtra,Retail,5397,2025-10-27
